"entry_time","temperature","ph","conductivity","moisture","salinity","tds"
"2024-05-11 16:49:22.244",214,75,1086,544,0,0
"2024-05-11 16:50:22.261",214,75,1085,554,0,0
"2024-05-11 16:51:22.277",214,75,1086,534,0,0
"2024-05-11 16:52:22.295",214,75,1086,552,0,0
"2024-05-11 16:53:22.312",214,75,1086,558,0,0
"2024-05-11 16:54:22.329",214,75,1086,534,0,0
"2024-05-11 16:55:22.345",214,75,1086,554,0,0
"2024-05-11 16:56:22.364",214,75,1087,560,0,0
"2024-05-11 16:57:22.381",214,75,1086,540,0,0
"2024-05-11 16:58:22.403",215,75,1086,552,0,0
"2024-05-11 16:59:22.415",215,75,1086,540,0,0
"2024-05-11 17:00:22.432",215,75,1086,570,0,0
"2024-05-11 17:01:22.449",214,75,1087,554,0,0
"2024-05-11 17:02:22.466",215,75,1087,552,0,0
"2024-05-11 17:03:22.483",215,75,1088,552,0,0
"2024-05-11 17:04:22.5",215,75,1088,578,0,0
"2024-05-11 17:05:22.517",215,75,1089,586,0,0
"2024-05-11 17:06:22.534",215,75,1088,560,0,0
"2024-05-11 17:07:22.552",215,75,1089,554,0,0
"2024-05-11 17:08:22.569",215,75,1088,536,0,0
"2024-05-11 17:09:22.587",215,75,1088,540,0,0
"2024-05-11 17:10:22.603",215,75,1087,534,0,0
"2024-05-11 17:11:22.621",215,75,1088,554,0,0
"2024-05-11 17:12:22.638",215,75,1088,554,0,0
"2024-05-11 17:13:22.656",215,75,1089,596,0,0
"2024-05-11 17:14:22.672",215,75,1090,534,0,0
"2024-05-11 17:15:22.69",215,75,1090,560,0,0
"2024-05-11 17:16:22.705",215,75,1089,560,0,0
"2024-05-11 17:17:22.723",215,75,1089,534,0,0
"2024-05-11 17:18:22.741",216,75,1090,554,0,0
"2024-05-11 17:19:22.758",216,75,1089,554,0,0
"2024-05-11 17:20:22.775",215,75,1090,570,0,0
"2024-05-11 17:21:22.792",215,75,1091,578,0,0
"2024-05-11 17:22:22.81",215,75,1091,558,0,0
"2024-05-11 17:23:22.827",216,75,1090,536,0,0
"2024-05-11 17:24:22.843",216,75,1091,554,0,0
"2024-05-11 17:25:22.862",216,75,1090,560,0,0
"2024-05-11 17:26:22.878",216,75,1090,534,0,0
"2024-05-11 17:27:22.895",216,75,1091,554,0,0
"2024-05-11 17:28:22.913",216,75,1091,534,0,0
"2024-05-11 17:29:22.93",216,75,1092,554,0,0
"2024-05-11 17:30:22.946",216,75,1092,576,0,0
"2024-05-11 17:31:22.964",216,75,1092,570,0,0
"2024-05-11 17:32:22.985",216,75,1093,578,0,0
"2024-05-11 17:33:22.998",216,75,1093,578,0,0
"2024-05-11 17:34:23.015",216,75,1092,554,0,0
"2024-05-11 17:35:23.032",216,75,1092,534,0,0
"2024-05-11 17:36:23.049",216,76,1094,550,0,0
"2024-05-11 17:37:23.067",216,75,1092,566,0,0
"2024-05-11 17:38:23.085",216,75,1092,552,0,0
"2024-05-11 17:39:23.101",216,76,1092,566,0,0
"2024-05-11 17:40:23.119",216,76,1093,546,0,0
"2024-05-11 17:41:23.135",216,76,1094,560,0,0
"2024-05-11 17:42:23.152",217,76,1092,534,0,0
"2024-05-11 17:43:23.169",216,76,1093,570,0,0
"2024-05-11 17:44:23.187",216,76,1094,574,0,0
"2024-05-11 17:45:23.204",217,76,1093,558,0,0
"2024-05-11 17:46:23.221",217,76,1094,607,0,0
"2024-05-11 17:47:23.238",217,76,1094,560,0,0
"2024-05-11 17:48:23.256",217,76,1093,534,0,0
"2024-05-11 17:49:23.272",217,75,1094,560,0,0
"2024-05-11 17:50:23.291",217,76,1094,552,0,0
"2024-05-11 17:51:23.306",217,76,1094,556,0,0
"2024-05-11 17:52:23.323",217,76,1094,534,0,0
"2024-05-11 17:53:23.341",217,76,1094,552,0,0
"2024-05-11 17:54:23.358",217,76,1094,554,0,0
"2024-05-11 17:55:23.377",217,76,1094,572,0,0
"2024-05-11 17:56:23.393",217,76,1094,566,0,0
"2024-05-11 17:57:23.41",217,76,1094,558,0,0
"2024-05-11 17:58:23.427",218,76,1094,554,0,0
"2024-05-11 17:59:23.443",217,76,1094,560,0,0
"2024-05-11 18:00:23.472",218,76,1094,562,0,0
"2024-05-11 18:01:23.483",217,76,1094,560,0,0
"2024-05-11 18:02:23.495",217,76,1094,570,0,0
"2024-05-11 18:03:23.513",217,76,1094,574,0,0
"2024-05-11 18:04:23.529",218,76,1094,560,0,0
"2024-05-11 18:05:23.547",217,76,1094,554,0,0
"2024-05-11 18:06:23.564",218,76,1094,534,0,0
"2024-05-11 18:07:23.58",218,76,1096,534,0,0
"2024-05-11 18:08:23.599",218,76,1096,560,0,0
"2024-05-11 18:09:23.616",218,76,1095,570,0,0
"2024-05-11 18:10:23.633",218,76,1096,546,0,0
"2024-05-11 18:11:23.65",218,76,1096,560,0,0
"2024-05-11 18:12:23.667",218,76,1096,556,0,0
"2024-05-11 18:13:23.684",218,76,1095,570,0,0
"2024-05-11 18:14:23.702",218,76,1096,554,0,0
"2024-05-11 18:15:23.719",218,76,1096,552,0,0
"2024-05-11 18:16:23.736",218,76,1096,570,0,0
"2024-05-11 18:17:23.753",218,76,1097,558,0,0
"2024-05-11 18:18:23.77",218,76,1097,558,0,0
"2024-05-11 18:19:23.787",218,76,1097,534,0,0
"2024-05-11 18:20:23.805",218,76,1097,562,0,0
"2024-05-11 18:21:23.821",218,76,1097,534,0,0
"2024-05-11 18:22:23.838",218,76,1097,570,0,0
"2024-05-11 18:23:23.856",218,76,1097,556,0,0
"2024-05-11 18:24:23.872",218,76,1097,560,0,0
"2024-05-11 18:25:23.89",218,76,1097,566,0,0
"2024-05-11 18:26:23.907",219,76,1097,554,0,0
"2024-05-11 18:27:23.925",218,76,1097,556,0,0
"2024-05-11 18:28:23.941",219,76,1098,556,0,0
"2024-05-11 18:29:23.959",219,76,1098,534,0,0
"2024-05-11 18:30:23.976",219,76,1098,574,0,0
"2024-05-11 18:31:23.993",219,76,1099,570,0,0
"2024-05-11 18:32:24.013",219,76,1098,572,0,0
"2024-05-11 18:33:24.028",219,76,1098,552,0,0
"2024-05-11 18:34:24.044",219,76,1098,534,0,0
"2024-05-11 18:35:24.062",219,76,1099,546,0,0
"2024-05-11 18:36:24.079",219,76,1097,578,0,0
"2024-05-11 18:37:24.096",219,76,1098,554,0,0
"2024-05-11 18:38:24.113",219,76,1099,544,0,0
"2024-05-11 18:39:24.131",219,76,1099,554,0,0
